uid,task1,map1,confidence1,information1,strategy1,inside1,outside1,arrival1,moves1,ratio1,time1,explore1,task2,map2,confidence2,information2,strategy2,inside2,outside2,arrival2,moves2,ratio2,time2,explore2,understanding,familiarity,studyarea,pointing,browser,cvd,cvdYes,gender,age,remarks
id777b2fb45f385,AB,color,3,3,"Used the street network to navigate direction, but used the building colors as a reference point as to where I was in the side map and when to turn",27,15,True,42,0.642857142857143,264302,0.780060643171107,CD,default,1,1,"Tried to find the green space next to Starting point, but couldn't figure out which was was north. got lost and had no idea where the start point was",16,11,False,27,0.592592592592593,235833,1.33264102515406,color of facade,5,1,Touchpad,Chrome,No,,Male,29,
id4edcab47bdd3e,AB,color,2,5,"count blocks i had to travel, look at street signs as i went along the route, tried to match building colors",26,4,True,30,0.866666666666667,208441,0.561577091201156,CD,default,5,2,"reading street signs, counting blocks, ",20,2,True,22,0.909090909090909,189812,0.859659259939737,the majority color of the building,4,1,Touchpad,Chrome,No,,Female,27,
id91532c1042378,AB,default,2,4,looking at the street layout and the number of buildings on the sides,16,10,False,26,0.615384615384615,123060,0.253603904083101,CD,color,4,3,Looking at the buildings and their colors,38,1,True,39,0.974358974358974,122496,0.303064727875935,facade colors,5,1,Touchpad,Firefox,No,,Female,25,Nice research
id1c6fd90d63b9d,AB,color,3,1,"reading the street signs with the name of the street on the building from street view and comparing them with the street names on the map on the left, making turns when necessary",26,13,True,39,0.666666666666667,191900,0.651136324562193,,,,,,,,,,,,,,,,,,,,,,
ida6f1420d3d761,AB,default,4,3,I zoomed into the left map to identify the street names and also kept zooming into the address tags of buildings to stay on course. I was expecting the location on the left map to be moving while i was navigating but i realized that it wans't the case. That was the only drawback for me.,33,39,False,72,0.458333333333333,387386,0.314473919526552,CD,color,3,3,zooming to address tags,2,39,False,41,0.0487804878048781,484333,0.324922747601556,may refer to the activity of the building,4,1,Mouse,Chrome,No,,Male,28,great images!
id84124a4950b0d,AB,default,2,3,I was looking at the streets names and counting the number of turns remaining before i needed to change direction.,30,0,True,30,1,183571,0.198280823212145,CD,color,5,4,"Really pleasant to have colors now ! While i was quite panicked about not knowing where i was with the uncolorful map, here i could know exactly where i was anytime. I looked 1/ at streets names + path + directions briefly at the beginning, then 2/ almost only at the colors on the map to orient myself ",24,2,True,26,0.923076923076923,120358,0.337003247060127,Colors of the building facade,5,1,Touchpad,Chrome,No,,Female,23,Uncolorful map is really hard to use !!! i felt quite dumb doing this first map. Then i gained confidence with the colorful map. good job :) congrats !
id0d69e960b2076,AB,default,5,3,Go to nearest turn --> turn --> repeat --> (occasionaly checking street names),42,2,True,44,0.954545454545455,180269,0.2006321537563,CD,color,5,4,Same as for test 1 but checking house colors rather than street names,39,0,True,39,1,174056,0.475626831016573,colors that stand out on the facade,5,1,Touchpad,Chrome,No,,Female,24,
id47e8b92bd17d8,AB,default,5,5,"Checked for patterns in the streets, count crossings",26,3,True,29,0.896551724137931,133540,0.204751656619836,CD,color,5,5,"count crossings, check for colors of buildings at street corners",29,1,True,30,0.966666666666667,132547,0.305783520135093,The color of building,4,2,Touchpad,Firefox,No,,Male,29,
id1d1780f26bea48,AB,color,5,3,check out the street signs on the 3D view and compare them to the 2D map,32,0,True,32,1,168943,0.45171757387955,CD,default,5,3,"As before, check out the 3D and 2D street names. To be even more sure, at two instances I checked the numbers on the houses too (i.e., to end up exactly in front of house with no. 64 at the end)",25,1,True,26,0.961538461538462,134730,0.574061353598115,function,5,1,Touchpad,Firefox,No,,Male,26,"For such surveys, it would be good to offer the participants some information on what it is used for -generically of course, as not to reveal some crucial information-. I was basically in the dark as to why would was all this asked of me."
idada634877d54a,AB,color,5,3,I looked at the color of the buildings and zoomed into the street names to make sure I'm turning into the right street or direction,50,4,True,54,0.925925925925926,111607,0.135769253573575,CD,default,4,2,Looking at the street names in both maps and counting how many blocks of buildings I need to pass before turning into a different street,38,2,True,40,0.95,166015,0.583878181742805,the color of the walls on the outside of the building,5,1,Touchpad,Chrome,No,,Female,29,
